epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,948.601,0.58573,1.88542,1.1664,0.64476,0.68406,0.84918,0.64619,0.76783,2.57636,1.4642,0.000544553,0.000544553,0.000544553
2,2000.47,0.51612,1.33971,1.06401,0.78575,0.54947,0.7208,0.4763,0.75185,2.75946,1.68857,0.00107844,0.00107844,0.00107844
3,3818.6,0.55432,1.00826,1.11185,0.67436,0.62036,0.71046,0.54703,0.70021,2.0345,1.42068,0.00159031,0.00159031,0.00159031
4,5806.89,0.51974,0.77077,1.07468,0.79268,0.84395,0.85873,0.64607,0.8196,1.4582,1.4989,0.00156798,0.00156798,0.00156798
5,9088.88,0.52001,0.72729,1.08318,0.958,0.92145,0.97873,0.83662,0.57427,0.86741,1.29979,0.00153497,0.00153497,0.00153497
6,10283.9,0.52216,0.66075,1.07634,0.95437,0.93036,0.97905,0.86043,0.53445,0.7631,1.22974,0.00150197,0.00150197,0.00150197
7,11218.4,0.48967,0.60253,1.06251,0.93674,0.85781,0.93743,0.65533,0.87789,0.95642,1.54395,0.00146896,0.00146896,0.00146896
8,12945.4,0.48755,0.55748,1.05966,0.93269,0.87136,0.97279,0.80507,0.60492,0.75756,1.27698,0.00143595,0.00143595,0.00143595
9,15876.2,0.46625,0.54484,1.04042,0.93401,0.93658,0.98028,0.80321,0.63744,0.72513,1.33707,0.00140295,0.00140295,0.00140295
10,17803.4,0.45619,0.4589,1.02741,0.98935,0.99828,0.99486,0.89226,0.50175,0.4587,1.18347,0.00136994,0.00136994,0.00136994
11,19870.4,0.44071,0.44483,1.01636,0.97804,0.97115,0.99198,0.89867,0.43541,0.48108,1.10334,0.00133693,0.00133693,0.00133693
12,20807.8,0.4603,0.51913,1.04199,0.98853,0.99889,0.99424,0.91974,0.40873,0.37293,1.06145,0.00130393,0.00130393,0.00130393
13,21728.9,0.4356,0.43165,1.0175,0.99747,0.99538,0.995,0.91297,0.43035,0.40202,1.08406,0.00127092,0.00127092,0.00127092
14,22559.2,0.4202,0.39974,1.01637,0.95669,0.97844,0.99454,0.88616,0.48892,0.48359,1.17598,0.00123791,0.00123791,0.00123791
15,23223.5,0.42239,0.41251,1.01,0.98482,0.99343,0.995,0.87541,0.48155,0.4611,1.15772,0.00120491,0.00120491,0.00120491
